epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.293,0.29692,2.27071,1.04716,0.43309,0.56424,0.46671,0.37499,0.53833,2.55661,0.78164,0.000366967,0.000366967,0.000366967
2,619.596,0.20178,1.43863,0.96585,0.59741,0.63377,0.59052,0.55576,0.25389,2.57623,0.4456,0.000719052,0.000719052,0.000719052
3,926.036,0.19057,1.2628,0.94865,0.69405,0.65099,0.70152,0.65285,0.32475,1.76701,0.4908,0.00105281,0.00105281,0.00105281
4,1295.88,0.186,1.15089,0.94481,0.7271,0.5844,0.67719,0.59529,0.42323,1.72125,0.61207,0.00102851,0.00102851,0.00102851
5,1711.75,0.16431,1.05204,0.94003,0.73247,0.70399,0.82731,0.81985,0.17739,1.20762,0.35869,0.00100101,0.00100101,0.00100101
6,2062.08,0.15489,0.98638,0.92189,0.7299,0.7067,0.8202,0.78204,0.29732,1.20682,0.48805,0.000973514,0.000973514,0.000973514
